	feature	weigth
0	L2	0.7671242000261075
1	L1	0.4093053475167743
2	endangered_aggregated_status	0.12539409700558046
3	eth_status	-0.39706938612605175
4	cru_watchtower	0.01483189208172202
5	cru_udhr	-0.5596124860261024
6	office13_if_pack	-0.1590483164878415
7	firefox_lpack	0.48636827417072703
8	wp_inc	-0.06720975575577703
9	uriel_feats	-0.029464711312257096
10	on_bible_org	0.6826102213863232
11	in_leipzig_corpora	0.23178275010993304
12	treetagger	1.0142579570183514
13	intercept	-1.407879267025472
