	feature	weigth
0	L1	0.8207646191951697
1	endangered_aggregated_status	-0.3390097442794534
2	eth_status	-0.27716423464264356
3	cru_udhr	0.6422302126471164
4	in_omniglot	0.6287119143469793
5	office13_if_pack	1.099158901929349
6	office13_lp	-0.17876539699092373
7	firefox_lpack	-0.3935310625079418
8	firefox_dict	-0.4163144476400962
9	wp_inc	-0.11012798833292607
10	on_bible_org	-0.36494959722484127
11	in_leipzig_corpora	0.8534118344403891
12	endangered_lex	-0.28604285631608595
13	intercept	-0.890681181520455
