	feature	weigth
0	L1	-1.3844127948227896
1	endangered_aggregated_status	-0.43324516592412915
2	eth_status	0.6389914767004895
3	cru_udhr	-0.33228983665923234
4	in_omniglot	0.060883712215804964
5	office13_if_pack	-0.24017411975831723
6	office13_lp	-0.5936367083539582
7	firefox_lpack	-0.35411871113724597
8	firefox_dict	0.1063071805549924
9	wp_inc	0.9540849834390713
10	on_bible_org	0.07616893443574517
11	in_leipzig_corpora	0.02259085678312285
12	endangered_lex	0.5994568414309461
13	intercept	0.7205955815455178
