	feature	weigth
0	L1	0.17211108052271676
1	endangered_aggregated_status	0.024470579162967094
2	eth_status	-0.5757540872756098
3	cru_udhr	0.1579891149948057
4	in_omniglot	0.3257400780293905
5	office13_if_pack	-0.6968702358253294
6	office13_lp	1.1084874321394875
7	firefox_lpack	0.9651731415950833
8	firefox_dict	0.4818907276782351
9	wp_inc	-0.06877131212229183
10	on_bible_org	0.6750472819403135
11	in_leipzig_corpora	-0.06074971419155305
12	endangered_lex	0.2878396794234108
13	intercept	-1.2061107841767178
